domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.12575555555555554,0.23924864599210063,0.06387301587301587,0.1735769989162852,25.0
www.sueddeutsche.de,-0.05430555555555555,0.2538309589547849,0.04402777777777778,0.09615711662399762,12.0
www.tagesspiegel.de,-0.10632034632034633,0.13063842727423045,0.03116883116883117,0.07051362057401676,11.0
www.zeit.de,-0.042222222222222223,0.16722129936991567,0.06666666666666667,0.10327955589886445,6.0
www.welt.de,-0.019999999999999997,0.04472135954999579,0.0,0.0,5.0
www.bild.de,-0.03266666666666666,0.22823172921884066,0.05,0.11180339887498948,5.0
www.n-tv.de,-0.1580952380952381,0.21682098115376364,0.05714285714285714,0.12777531299998798,5.0
www.tagesschau.de,-0.012500000000000004,0.20063556421938167,0.18333333333333335,0.21343747458109494,4.0
www.faz.net,-0.21613095238095237,0.06783566215282913,0.10476190476190475,0.13602720816272096,4.0
tirol.orf.at,0.013888888888888876,0.2252056673189922,0.0,0.0,3.0
orf.at,-0.17291666666666666,0.16204530402191714,0.041666666666666664,0.05892556509887896,2.0
www.morgenpost.de,-0.10749999999999998,0.32880465325174457,0.0625,0.08838834764831845,2.0
www.nzz.ch,0.0,1.0,0.0,1.0,1.0
noe.orf.at,0.0,1.0,0.0,1.0,1.0
www.focus.de,0.0,1.0,0.0,1.0,1.0
www.dw.com,0.0,1.0,0.0,1.0,1.0
www.diepresse.com,0.0,1.0,0.0,1.0,1.0
steiermark.orf.at,0.0,1.0,0.0,1.0,1.0
salzburg.orf.at,0.0,1.0,0.0,1.0,1.0
www.gamestar.de,0.0,1.0,0.0,1.0,1.0
